Name,Description,Est. Value,Rarity,Weight,Category,Properties,Requirements,Author,Rarity Number
Oily Rags,Three oily rags in an old wicker basket.,0.2 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Pickle,"On the floor, you find a single pickle wrapped in an oily paper bag. It has a strong distinct smell, but otherwise seems like a normal pickle.",0.05 gp,Mundane,1,Treasure,,,Unknown,1
Ancient Sword,"A used, slightly rusted double-bladed sword.",2. gp,Mundane,3,Weapon,"1d4 Piercing - Finesse, Light",,PlatypusPal,1
Andar Gem,"Andar is hard and durable, yielding translucent gems that flash green-red or brown-red when properly faceted.",15. gp,Mundane,n/a,Treasure,,,Baldur's Gate,1
Banded Agate Gem,A round translucent white gemstone with a ring of striped brown through its center.,10. gp,Mundane,n/a,Treasure,,,DMG,1
Barrel o' Eels,"A large barrel of pickled eels. The barrel can be re-used, but it's unlikely the smell of pickled eel will ever truly be washed out.",5. gp,Mundane,35,Treasure,,,Uberbeard,1
Barrel o' Nails,A newly crafted barrel filled with iron nails. Might be difficult for the players to get this around if they don't have a cart.,5. gp,Mundane,40,Treasure,,,Uberbeard,1
Beaver Pelts,A string of eight beaver pelts.,1. gp,Mundane,20,Treasure,,,Uberbeard,1
Belt,An old leather belt.,0.15 gp,Mundane,1,Treasure,,,Uberbeard,1
Black Velvet Mask,An ornate black velvet mask sitched with silver thread.,25. gp,Mundane,n/a,Treasure,,,DMG,1
Blank Scroll,"A blank scroll. It could have any spell in the world on it, eventually. The possibilities are endless.",0.5 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Blanket,A thick woolen blanket. Something like this is perfect for wrapping up during those long cold nights spent staring at a cave wall.,0.35 gp,Mundane,3,Adventuring Gear,,,PHB,1
Blood Stained Dress,"A blood-stained dress which, despite being found in ruins which have lain undisturbed for centuries, is still a vibrant, stunning blue.",2. gp,Mundane,2,Treasure,,,Uberbeard,1
Blood-Soaked Book,"A blood-soaked book; a partially written history about a long-lost keep on the borderlands. The last written page is done in a different hand, and is scrawled with “The rules have changed!” in large, bold letters. Roughly a third of the book (of 100 pages) has been used. ",5. gp,Mundane,1,Book,,Language: Common,Unknown,1
Blue Quartz Gem,A small quartz gemstone shaped in a bevelled square. It is transparent pale blue in color.,10. gp,Mundane,n/a,Treasure,,,DMG,1
Blue Scarf,A finely woven blue wool scarf.,1. gp,Mundane,n/a,Treasure,,,Uberbeard,1
Bone Butter Churn,"A butter churn made of bone slats, bound with hoops of silver. A scrimshaw scene depicting a crowd of human villagers beating a Halfling with shovels and hoes wraps around it.",0.5 gp,Mundane,1,Treasure,,,Unknown,1
Bone Dice,A pair of engraved bone dice.,25. gp,Mundane,n/a,Treasure,,,DMG,1
Bone Fragments,Bits of bone from an unknown creature.,0. gp,Mundane,n/a,Treasure,,,Uberbeard,1
Bone Needle,A long needle carved out of bone.,0.25 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Broken Sword,"This is simply a regular sword that has been partially broken, in combat or however. Most people would just get rid of it, but maybe this sword has a nice hilt or sentimental value. ",0.5 gp,Mundane,3,Weapon,"1d4 Piercing, Finesse, Light",,D&D Wiki,1
Candle,Six red wax candles. ,0.01 gp,Mundane,n/a,Adventuring Gear,"For 1 hour, a candle sheds bright light in a 5-foot radius and dim light for an additional 5 feet. ",,PHB,1
Carved Bone Statuette,"A carved ox bone female figure statue on a wooden base. The statue is 16"" in height.",25. gp,Mundane,1,Treasure,,,DMG,1
Chalk,A small piece of chalk used to draw on any hard surface.,0.05 gp,Mundane,n/a,Treasure,,,Uberbeard,1
Cloth Scrap,An old scrap of cloth from a shirt or sheet of some kind. ,0. gp,Mundane,n/a,Treasure,,,Uberbeard,1
